gene_id,HSC,MPPa,MPPb,MPPc
Ice1,53.25066549,49.01756384,56.62432959,34.93807957
Ice2,44.31923343,36.72794757,38.05736357,27.04307179
Ick,26.02509892,22.15883016,19.15528565,16.56428009
Icmt,18.86225346,19.01266216,19.19242752,14.89885544
Icos,0.025131838,0.533570045,1.283294258,4.074590721
Icosl,3.892209155,4.904108507,7.714213086,9.916113575
Ict1,54.25830212,68.05257116,73.84612955,72.22385717
Id1,1.668352283,0.835417531,1.463627515,0.634906027
Id2,11.10775231,5.780093374,4.538781914,3.098053629
Id3,0.751781051,0,1.360317176,0.279381802
Id4,0.618907242,0.39203557,0.226903603,0.07298432
Ide,58.30657207,77.48187021,83.27941182,105.9489426
Idh1,29.06266018,24.56928123,36.42971891,17.12550714
Idh2,147.9420415,193.4383655,249.9716455,227.571815
Idh3a,34.85326241,57.74868947,50.19914175,35.20635899
Idh3b,239.2877047,221.0816905,243.3658635,188.1414893
Idh3g,367.0902471,478.9872227,496.9139011,348.267183
Idi1,16.18272931,19.1815853,12.63518668,5.502394045
Idi2,0.37633243,0.16726082,0.409474976,0.156389017
Idnk,60.27930907,39.69501498,37.53520615,48.91341264
Ido1,0,0.110870934,0.085516066,0.039592137
Ido2,0,0,0,0
Ids,32.97245099,32.20259871,24.11590646,14.71642544
Idua,30.42807398,21.86621701,23.54259807,22.38715837
Ier2,211.9324025,77.33531486,97.45783362,86.38108031
Ier3,123.6082313,69.86913381,87.84604491,77.00530511
Ier3ip1,67.29141077,79.4648908,61.88536316,46.11756987
Ier5,20.03866449,22.29269762,13.33919101,26.7489768
Ier5l,0.952542724,0.832547489,0.528468828,3.197300142
Iffo1,29.13260869,23.43980989,25.57068173,22.785528
Iffo2,11.5914368,4.431490109,4.075500295,8.147915972
Ifi202b,0,0,0,0
Ifi203,308.2744215,249.4403775,273.6743774,139.0014734
Ifi204,3.923615091,5.39796386,6.434708175,2.013833566
Ifi205,7.527664747,7.391546379,7.981200257,3.428104809
Ifi27,165.164735,177.6990443,227.3608302,247.5830976
Ifi27l2a,11.32069353,10.1144001,35.27266316,100.3599567
Ifi27l2b,0,0,0.149189208,0.214049857
Ifi30,18.41375591,22.72422171,20.01297254,18.29294445
Ifi35,45.05274752,49.54927932,39.66788831,29.58970154
Ifi44,39.7057039,14.53426529,13.8090283,22.89047756
Ifi44l,0,0,0,0.060505277
Ifi47,163.3673419,210.6441449,194.9444788,183.4963746
Ifih1,43.36594868,35.73802044,23.39144174,17.87179638
Ifit1,20.56129329,9.489255571,11.24446495,8.883035331
Ifit1bl1,2.850118161,2.758384343,2.819295172,2.456646466
Ifit1bl2,1.294300268,0.292656113,0.299560942,0.146276233
Ifit2,24.43826028,38.56690062,23.06491067,9.453643724
Ifit3,6.297941604,1.528126788,1.668342037,3.927138277
Ifit3b,2.2077569,0.357981805,0.463308759,2.007944917
Ifitm1,1896.873588,504.8809301,628.0190498,1352.497797
Ifitm10,0,0,0.029806817,0
Ifitm2,1551.479195,1238.750076,1575.969654,1659.087182
Ifitm3,3097.962742,1821.271419,1632.983148,2193.88449
Ifitm5,16.52507527,5.430373401,9.518276386,7.276463424
Ifitm6,41.61109183,4.037419048,8.531062717,3.141737618
Ifitm7,32.32424572,6.640834675,3.658630351,1.338999461
Ifltd1,0,0.10696935,0,0
Ifna1,0,0,0,0.277134329
Ifna11,0,0,0,0
Ifna12,0,0,0,0
Ifna13,0,0.212159229,0,0
Ifna14,0,0,0,0
Ifna15,0,0,0,0
Ifna16,0,0,0,0
Ifna2,0,0,0,0
Ifna4,0,0,0,0
Ifna5,0,0,0,0
Ifna6,0,0.364789392,0,0
Ifna7,0.703511854,0,0,0
Ifna9,0,0,0,0
Ifnab,0.793958112,1.6200473,0,0
Ifnar1,33.98339599,22.52302473,29.06460596,27.35792047
Ifnar2,138.7220718,156.3657414,232.5824044,239.0200909
Ifnb1,0,0.227154012,0,0
Ifne,0,0,0,0
Ifng,0,0,0,0
Ifngr1,131.025609,107.8683586,115.9698906,87.50903498
Ifngr2,16.61742621,16.13511112,29.48425267,31.27884951
Ifnk,2.347245097,0.835921881,0.968281548,1.057334754
Ifnl2,0,0,0,0
Ifnl3,0,0,0,0
Ifnlr1,0.372955524,0.117270065,0.124811909,0
Ifnz,1.657399197,0.22605055,0.053610389,0.111137534
Ifrd1,123.4451757,113.4985268,94.7748088,43.59709315
Ifrd2,98.43976534,97.38331822,88.97658568,81.407956
Ift122,7.965670021,5.742097542,6.729316869,6.930332353
Ift140,21.89265445,26.52063862,25.01532837,19.02792882
Ift172,22.0684946,15.70987443,12.81672042,12.16839524
Ift20,121.6146988,144.1055267,159.5918531,111.9715625
Ift22,32.14323032,18.36329529,30.52146902,34.15129533
Ift27,22.10505215,35.97210191,44.66878268,31.61445188
Ift43,7.582583779,3.082230964,2.538194509,1.860256252
Ift46,25.58744812,20.90978502,19.72575464,17.13698073
Ift52,67.3975151,68.74509044,66.86851127,49.44980275
Ift57,25.53380517,24.45054426,22.16527998,37.47829761
Ift74,29.05769762,29.19663081,31.78145305,23.26893715
Ift80,21.61519991,18.04089613,12.19343022,10.70559748
Ift81,11.44570286,8.825187935,6.335913736,14.10255488
Ift88,12.59089701,11.01659756,12.64658603,13.25489315
Igbp1,176.4713443,151.7591991,156.290006,117.8949696
Igbp1b,0,0,0,0
Igdcc3,0,0,0,0
Igdcc4,6.480918396,2.410948643,1.725203123,0.963177114
Igf1,7.91509914,1.144083912,0.462047732,0.153316796
Igf1r,144.4353999,107.4972207,91.9349906,39.41446513
Igf2,13.58371685,0.555309089,0.518138421,0.04706954
Igf2bp1,0.013068225,0,0.015255682,0
Igf2bp2,31.8731251,4.583563905,1.750862118,0.828580147
Igf2bp3,11.10732695,6.609623813,5.462923308,4.95726376
Igf2os,0.220729373,0,0,0
Igf2r,34.23955877,7.726158485,3.079893692,11.22884359
Igfals,0.591747843,0.12091088,0.222986901,0
Igfbp1,0,0,0,0
Igfbp2,0,0,0,0
Igfbp3,0,0,0,0
Igfbp4,91.43995189,218.928141,354.3571991,285.3041965
Igfbp5,0,0.339400034,0.090518004,0.009233975
Igfbp6,0,0,0.937720411,0.611874492
Igfbp7,0.548545186,2.968424399,14.28364665,2.097455755
Igfbpl1,0,0,0,0
Igfl3,0,0,0,0
Igflr1,27.94135723,10.59733165,12.75905553,21.25059851
Igfn1,0,0,0,0
Ighmbp2,7.930081354,4.927923751,4.882871339,4.132920403
Igip,38.90153236,22.49317086,13.72451438,9.074121145
Igll1,4.45111192,1.396783337,2.932056958,0
Iglon5,1.422459643,0.15145772,0.083881949,0
Igsf1,0,0,0,0
Igsf10,5.973271819,4.312255569,3.093046798,3.144842235
Igsf11,0.414926993,0.043777531,0.050798965,0.043985002
Igsf21,0,0,0,0
Igsf23,0.953513969,1.410920953,0.32263316,0
Igsf3,4.696593376,1.390407727,0.565355983,0.28894706
Igsf5,0,0,0.083261039,0.069953943
Igsf6,15.22311139,8.069500587,43.35180186,5.33990783
Igsf8,18.04099652,18.56161996,30.4759551,18.37410319
Igsf9,0.92559837,0.46028106,0.483982101,1.157153258
Igsf9b,4.332388505,0.857450591,0.871499742,0.713117071
Igtp,124.3249672,68.429137,66.18058296,52.9055454
Ihh,0,0.231514487,0.057614153,0.246754637
Iigp1,87.69108992,28.30372875,18.36002381,10.73242542
Ik,317.8947046,406.7385999,392.7538293,461.7848111
Ikbip,31.19490814,26.10833861,21.93269966,12.0744637
Ikbkap,28.20177363,29.61662046,31.37934382,26.71877428
Ikbkb,61.00289804,52.69117279,49.55317811,45.93989803
Ikbke,41.17225946,16.12294341,19.48657689,15.71476234
Ikbkg,20.7132895,18.06916684,16.75079351,14.59936112
Ikzf1,208.398585,189.8812318,234.6388821,273.280554
Ikzf2,47.59925134,49.75011444,60.67235451,33.74904493
Ikzf3,0.32642795,0.089676271,0.024659151,0
Ikzf4,12.17177311,2.188480783,0.784797808,0.417164375
Ikzf5,22.74460838,25.57006432,21.68717502,9.675134539
Il10,0.455752345,0.220162327,0,0.296013439
Il10ra,3.192416861,0.469673721,4.726265867,14.37780282
Il10rb,28.4858213,30.33356563,44.19714988,36.48937579
Il11,0.180326547,0.691191685,0.099718498,0.032924128
Il11ra1,61.04212592,40.50265258,46.98727857,29.19673124
Il12a,33.6327082,45.23041972,65.97869322,174.7966973
Il12b,0,0,0,0
Il12rb1,14.2063531,7.980594862,7.851235044,8.266937547
Il12rb2,23.18058137,41.70381845,62.19936746,32.57384609
Il13,0.803913959,0,0.053893285,0
Il13ra1,0.009993657,0.064328075,0.05049874,0.084050255
Il13ra2,0,0,0,0
Il15,52.16055579,34.10148567,60.60575386,54.30228568
Il15ra,50.28966949,28.09701333,31.03381381,25.07147114
Il16,47.11693747,31.59489156,46.82797984,45.80643323
Il17a,0,0,0,0
Il17b,0,0,0,0
Il17c,1.153358749,0,0.128379742,0
Il17d,0,0,0,0
Il17f,0.251256934,0.727642805,0.046861176,0.189585811
Il17ra,139.364133,191.6326588,189.210351,204.1420789
Il17rb,1.61136079,1.761115874,8.310257562,6.823003711
Il17rc,0.65797443,0.622468985,0.638426706,3.104870289
Il17rd,0,0,0,0.023033897
Il17re,10.51087412,10.22929225,12.53628785,17.22944433
Il18,18.64420789,14.21139118,14.70373179,20.25813339
Il18bp,27.58050799,22.29905287,16.91852692,9.549245686
Il18r1,3.870350246,12.70596464,14.70665471,16.94311088
Il18rap,8.886509057,11.14714039,19.8590812,41.84652775
Il19,0,0,0,0
Il1a,0,0.57483171,0.257686047,0.030120524
Il1b,0.404207856,1.077665841,0.343540335,0.04040828
Il1bos,0.305403224,0.628774483,0,0.140961432
Il1f10,0,0.373130382,0,0
Il1f5,0,0,0,0
Il1f6,0,0,0,0
Il1f8,0,0.302401592,0,0
